Normalni: duhovnik                  Moski average: 0.8827    Zenski average: 0.9017     Razlika: -0.0190
Mešani: duhovnik                  Moski average: 0.8948    Zenski average: 0.8711     Razlika: 0.0236
Skupno: duhovnik                  Moski average: 0.8888    Zenski average: 0.8982     Razlika: -0.0095
Normalni: ekolog                    Moski average: 0.8860    Zenski average: 0.9176     Razlika: -0.0317
Mešani: ekolog                    Moski average: 0.8880    Zenski average: 0.8803     Razlika: 0.0076
Skupno: ekolog                    Moski average: 0.8870    Zenski average: 0.9028     Razlika: -0.0158
Normalni: ekonom                    Moski average: 0.8784    Zenski average: 0.9154     Razlika: -0.0370
Mešani: ekonom                    Moski average: 0.8886    Zenski average: 0.8979     Razlika: -0.0092
Skupno: ekonom                    Moski average: 0.8835    Zenski average: 0.9020     Razlika: -0.0185
Normalni: elektrotehnik             Moski average: 0.9108    Zenski average: 0.9224     Razlika: -0.0116
Mešani: elektrotehnik             Moski average: 0.9083    Zenski average: 0.8922     Razlika: 0.0162
Skupno: elektrotehnik             Moski average: 0.9096    Zenski average: 0.9154     Razlika: -0.0058
Normalni: epidemiolog               Moski average: 0.9086    Zenski average: 0.9277     Razlika: -0.0191
Mešani: epidemiolog               Moski average: 0.8814    Zenski average: 0.8871     Razlika: -0.0056
Skupno: epidemiolog               Moski average: 0.8950    Zenski average: 0.9046     Razlika: -0.0096
Normalni: esejist                   Moski average: 0.9163    Zenski average: 0.9145     Razlika: 0.0017
Mešani: esejist                   Moski average: 0.9043    Zenski average: 0.8890     Razlika: 0.0153
Skupno: esejist                   Moski average: 0.9103    Zenski average: 0.9094     Razlika: 0.0009
Normalni: etnolog                   Moski average: 0.9022    Zenski average: 0.9142     Razlika: -0.0120
Mešani: etnolog                   Moski average: 0.8770    Zenski average: 0.8698     Razlika: 0.0073
Skupno: etnolog                   Moski average: 0.8896    Zenski average: 0.8956     Razlika: -0.0060
Normalni: farmacevt                 Moski average: 0.9016    Zenski average: 0.9200     Razlika: -0.0184
Mešani: farmacevt                 Moski average: 0.8845    Zenski average: 0.8809     Razlika: 0.0036
Skupno: farmacevt                 Moski average: 0.8931    Zenski average: 0.9023     Razlika: -0.0092
Normalni: filozof                   Moski average: 0.8742    Zenski average: 0.9061     Razlika: -0.0319
Mešani: filozof                   Moski average: 0.8598    Zenski average: 0.8611     Razlika: -0.0012
Skupno: filozof                   Moski average: 0.8670    Zenski average: 0.8830     Razlika: -0.0160
Normalni: fizik                     Moski average: 0.8905    Zenski average: 0.8965     Razlika: -0.0060
Mešani: fizik                     Moski average: 0.8827    Zenski average: 0.8611     Razlika: 0.0216
Skupno: fizik                     Moski average: 0.8866    Zenski average: 0.8896     Razlika: -0.0030
Normalni: fizioterapevt             Moski average: 0.9238    Zenski average: 0.9303     Razlika: -0.0065
Mešani: fizioterapevt             Moski average: 0.9198    Zenski average: 0.8979     Razlika: 0.0219
Skupno: fizioterapevt             Moski average: 0.9218    Zenski average: 0.9250     Razlika: -0.0033
Normalni: fotograf                  Moski average: 0.8831    Zenski average: 0.9149     Razlika: -0.0318
Mešani: fotograf                  Moski average: 0.8619    Zenski average: 0.9057     Razlika: -0.0439
Skupno: fotograf                  Moski average: 0.8725    Zenski average: 0.8884     Razlika: -0.0159
Normalni: fotoreporter              Moski average: 0.9296    Zenski average: 0.9327     Razlika: -0.0031
Mešani: fotoreporter              Moski average: 0.9169    Zenski average: 0.9317     Razlika: -0.0148
Skupno: fotoreporter              Moski average: 0.9232    Zenski average: 0.9248     Razlika: -0.0016
Normalni: frizer                    Moski average: 0.8926    Zenski average: 0.9332     Razlika: -0.0406
Mešani: frizer                    Moski average: 0.8888    Zenski average: 0.9082     Razlika: -0.0193
Skupno: frizer                    Moski average: 0.8907    Zenski average: 0.9110     Razlika: -0.0203
Normalni: gasilec                   Moski average: 0.8908    Zenski average: 0.9274     Razlika: -0.0366
Mešani: gasilec                   Moski average: 0.8517    Zenski average: 0.8905     Razlika: -0.0388
Skupno: gasilec                   Moski average: 0.8713    Zenski average: 0.8895     Razlika: -0.0183
Normalni: genetik                   Moski average: 0.9186    Zenski average: 0.9343     Razlika: -0.0157
Mešani: genetik                   Moski average: 0.9126    Zenski average: 0.9140     Razlika: -0.0014
Skupno: genetik                   Moski average: 0.9156    Zenski average: 0.9234     Razlika: -0.0079
Normalni: geodet                    Moski average: 0.9036    Zenski average: 0.9145     Razlika: -0.0109
Mešani: geodet                    Moski average: 0.8946    Zenski average: 0.9017     Razlika: -0.0071
Skupno: geodet                    Moski average: 0.8991    Zenski average: 0.9045     Razlika: -0.0054
Normalni: geograf                   Moski average: 0.8781    Zenski average: 0.9230     Razlika: -0.0449
Mešani: geograf                   Moski average: 0.8797    Zenski average: 0.8833     Razlika: -0.0037
Skupno: geograf                   Moski average: 0.8789    Zenski average: 0.9013     Razlika: -0.0224
Normalni: geolog                    Moski average: 0.8919    Zenski average: 0.9123     Razlika: -0.0204
Mešani: geolog                    Moski average: 0.8658    Zenski average: 0.8647     Razlika: 0.0011
Skupno: geolog                    Moski average: 0.8788    Zenski average: 0.8890     Razlika: -0.0102
Normalni: ginekolog                 Moski average: 0.8966    Zenski average: 0.9094     Razlika: -0.0128
Mešani: ginekolog                 Moski average: 0.8699    Zenski average: 0.8860     Razlika: -0.0161
Skupno: ginekolog                 Moski average: 0.8833    Zenski average: 0.8896     Razlika: -0.0064
Normalni: glasbenik                 Moski average: 0.8784    Zenski average: 0.9289     Razlika: -0.0505
Mešani: glasbenik                 Moski average: 0.8709    Zenski average: 0.8841     Razlika: -0.0132
Skupno: glasbenik                 Moski average: 0.8746    Zenski average: 0.8999     Razlika: -0.0252
Normalni: govedorejec               Moski average: 0.9351    Zenski average: 0.9458     Razlika: -0.0107
Mešani: govedorejec               Moski average: 0.9193    Zenski average: 0.9278     Razlika: -0.0085
Skupno: govedorejec               Moski average: 0.9272    Zenski average: 0.9325     Razlika: -0.0054
Normalni: gozdar                    Moski average: 0.8859    Zenski average: 0.9140     Razlika: -0.0281
Mešani: gozdar                    Moski average: 0.8896    Zenski average: 0.8663     Razlika: 0.0233
Skupno: gozdar                    Moski average: 0.8877    Zenski average: 0.9018     Razlika: -0.0140
Normalni: grobar                    Moski average: 0.8939    Zenski average: 0.8703     Razlika: 0.0235
